generation,train,validation,test,validmse,testAvrMse
113,0.820574583991,0.704614234355,0.291819854491,0.0212955042115,0.0659715803822
114,0.820867148199,0.702214627631,0.297427862695,0.021479193544,0.0654491579924
115,0.820867148199,0.702214627631,0.297427862695,0.021479193544,0.0654491579924
116,0.815598164542,0.689595309976,0.33293413688,0.0223776639857,0.0621415179288
117,0.821452276616,0.697415414185,0.308643879103,0.021846572209,0.0644043132128
118,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
119,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
120,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
121,0.82202353169,0.692302269692,0.319440252215,0.02219532686,0.063398560932
122,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
123,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
124,0.821744840824,0.695015807462,0.314251887307,0.0220302615415,0.063881890823
125,0.821960867493,0.693403819979,0.301898221719,0.0220701730313,0.0650327150131
126,0.822531252276,0.686819628619,0.286203615049,0.0224788084898,0.0664947695652
127,0.822176894163,0.691791832495,0.28954455613,0.0221100845211,0.0661835392032
128,0.822176894163,0.691791832495,0.28954455613,0.0221100845211,0.0661835392032
129,0.822176894163,0.691791832495,0.28954455613,0.0221100845211,0.0661835392032
130,0.822176894163,0.691791832495,0.28954455613,0.0221100845211,0.0661835392032
131,0.822602681602,0.689420834495,0.293578380038,0.0222648071822,0.0658077623053
132,0.823028469041,0.687049836495,0.297612203947,0.0224195298433,0.0654319854074
133,0.823028469041,0.687049836495,0.297612203947,0.0224195298433,0.0654319854074
134,0.823028469041,0.687049836495,0.297612203947,0.0224195298433,0.0654319854074
135,0.823034734941,0.686196859529,0.268871048861,0.0223446301618,0.0681094106855
136,0.81878198846,0.6817450192,0.278013153469,0.0226233147549,0.0672577642607
137,0.806932636872,0.656848176834,0.315393874778,0.0244558299464,0.0637755072726
138,0.79678383798,0.629027194096,0.321475651325,0.0264372948963,0.0632089502844
139,0.786635039088,0.601206211358,0.327557427871,0.0284187598461,0.0626423932962
140,0.787986548935,0.599559894511,0.296430377042,0.0285336934624,0.0655420802599
141,0.786565601789,0.593219745053,0.288521260797,0.0290367716022,0.06627886581
142,0.780430680068,0.5734446001,0.307499953956,0.0302252497697,0.0645108772704
143,0.783793144795,0.588525912443,0.311739195382,0.0294249161256,0.0641159643964
144,0.792480027767,0.613616182692,0.320025300489,0.0276834731639,0.0633440598852
145,0.805273526138,0.651405546379,0.318466735697,0.0250099141586,0.0634892503189
146,0.822647292082,0.701586086877,0.335038945909,0.0215270282351,0.0619454412965
147,0.822647292082,0.701586086877,0.335038945909,0.0215270282351,0.0619454412965
148,0.822647292082,0.701586086877,0.335038945909,0.0215270282351,0.0619454412965
149,0.827227559653,0.713977263688,0.353169720913,0.0207177013168,0.0602564418404
150,0.827227559653,0.713977263688,0.353169720913,0.0207177013168,0.0602564418404
151,0.827227559653,0.713977263688,0.353169720913,0.0207177013168,0.0602564418404
152,0.818569939888,0.689148868427,0.344383392795,0.0224357226728,0.0610749453743
153,0.818569939888,0.689148868427,0.344383392795,0.0224357226728,0.0610749453743
154,0.827227559653,0.713977263688,0.353169720913,0.0207177013168,0.0602564418404
155,0.827227559653,0.713977263688,0.353169720913,0.0207177013168,0.0602564418404
156,0.82471039455,0.703711857569,0.356811140659,0.0215479647769,0.0599172199391
157,0.822193229446,0.693446451449,0.360452560404,0.022378228237,0.0595779980378
158,0.822193229446,0.693446451449,0.360452560404,0.022378228237,0.0595779980378
159,0.81715889924,0.67291563921,0.367735399895,0.0240387551572,0.0588995542351
160,0.81715889924,0.67291563921,0.367735399895,0.0240387551572,0.0588995542351
161,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
162,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
163,0.816544488636,0.660231777164,0.365973051957,0.024959404551,0.0590637283924
164,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
165,0.819154397757,0.663530631735,0.371747490737,0.0246787460561,0.0585258019135
166,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
167,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
168,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
169,0.814641734136,0.662650233091,0.37137681964,0.0248690186172,0.0585603323338
170,0.804008943219,0.64142749456,0.357617360438,0.0261650340945,0.05984211533
171,0.793376152301,0.620204756029,0.343857901235,0.0274610495717,0.0611238983263
172,0.790980803666,0.60913688272,0.352753080527,0.0280935365277,0.0602952545985
173,0.793376152301,0.620204756029,0.343857901235,0.0274610495717,0.0611238983263
174,0.782743361384,0.598982017499,0.330098442033,0.028757065049,0.0624056813225
175,0.772110570466,0.577759278968,0.316338982831,0.0300530805262,0.0636874643187
176,0.788453381421,0.597418883486,0.355175760087,0.0288592411217,0.0600695662616
177,0.782743361384,0.598982017499,0.330098442033,0.028757065049,0.0624056813225
