generation,train,validation,test,valid_mse,test_mse
258,0.64382061021,0.504347810336,0.276411194017,0.0328353690434,0.0674069971889
259,0.634074099087,0.464919248744,0.358477380413,0.0372686960432,0.0597619988833
260,0.64054772891,0.493177023997,0.321615373454,0.0353966273884,0.0631959342605
261,0.640176842689,0.501849201323,0.300269858865,0.0328353690434,0.0651844075896
262,0.640176842689,0.501849201323,0.300269858865,0.0328353690434,0.0651844075896
263,0.636704599254,0.473392520235,0.371754936117,0.0372686960432,0.058525108328
264,0.640308927065,0.48127603532,0.384329978018,0.0388184365023,0.0573536614965
265,0.640308927065,0.48127603532,0.384329978018,0.0328353690434,0.0573536614965
266,0.637148522748,0.473802197791,0.402442676623,0.0388184365023,0.0556663459744
267,0.640679813286,0.472603857993,0.405675492607,0.0388184365023,0.0553651881674
268,0.63646579741,0.461491531557,0.434469540681,0.0388184365023,0.052682835564
269,0.640679813286,0.472603857993,0.405675492607,0.0388184365023,0.0553651881674
270,0.640679813286,0.472603857993,0.405675492607,0.0388184365023,0.0553651881674
271,0.640679813286,0.472603857993,0.405675492607,0.0353966273884,0.0553651881674
272,0.632251781534,0.450379205122,0.463263588754,0.0388184365023,0.0500004829606
273,0.635554627842,0.463795578501,0.460160279233,0.0388184365023,0.0502895763993
274,0.635554627842,0.463795578501,0.460160279233,0.0388184365023,0.0502895763993
275,0.640926955696,0.478212045815,0.462237785834,0.0388184365023,0.0500960431655
276,0.635554627842,0.463795578501,0.460160279233,0.0388184365023,0.0502895763993
277,0.635554627842,0.463795578501,0.460160279233,0.0388184365023,0.0502895763993
278,0.638857474151,0.477211951879,0.457056969712,0.0388184365023,0.0505786698381
279,0.635554627842,0.463795578501,0.460160279233,0.0388184365023,0.0502895763993
280,0.637026498055,0.478663473666,0.410445241972,0.0388184365023,0.0549208550332
281,0.640329344363,0.492079847045,0.407341932451,0.0388184365023,0.055209948472
282,0.623947305141,0.475525393144,0.386434384371,0.0353195843379,0.057157622376
283,0.632804887237,0.470289607131,0.438061608676,0.0347840042012,0.0523482110988
284,0.61917258862,0.4472411246,0.439252731153,0.0388184365023,0.0522372503033
285,0.632804887237,0.470289607131,0.438061608676,0.0347840042012,0.0523482110988
286,0.64216032046,0.490628325258,0.453953660191,0.0388184365023,0.0508677632768
287,0.640518077932,0.500017366736,0.432175087448,0.0347840042012,0.0528965787857
288,0.637215231623,0.486600993357,0.43527839697,0.0364711732932,0.052607485347
289,0.639390707031,0.491458156139,0.450831180384,0.0388184365023,0.0511586425522
290,0.645996399648,0.518290902897,0.444624561342,0.0347840042012,0.0517368294297
291,0.646226808908,0.519539516402,0.419644847885,0.0347840042012,0.0540638519884
292,0.656272481801,0.534419083208,0.322400173628,0.0347840042012,0.0631228250268
293,0.664048757195,0.552654760037,0.211516659413,0.0279802175662,0.0734523445954
294,0.672196809887,0.556369856731,0.227677488245,0.0348684237071,0.0719468584206
295,0.703961551021,0.594719709542,0.0193830228709,0.028587502559,0.0913508408009
296,0.711745664067,0.597244730384,0.0351018602457,0.0272904333643,0.0898865290012
297,0.711745664067,0.597244730384,0.0351018602457,0.0272904333643,0.0898865290012
298,0.724937844548,0.612540143056,-0.0502023614064,0.0272904333643,0.0978331713229
299,0.725171486999,0.611583679805,-0.0700106286241,0.0291757911763,0.0996784400745
